Darkest Dungeon,"December 25, 2020","December 26, 2020"
Inside,"December 24, 2020","December 25, 2020"
Tropico 5,"December 23, 2020","December 24, 2020"
Metro: 2033,"December 22, 2020","December 23, 2020"
Alien: Isolation,"December 21, 2020","December 22, 2020"
Defense Grid: The Awakening,"December 20, 2020","December 21, 2020"
The Long Dark,"December 19, 2020","December 20, 2020"
oddworld-abes-oddysee---new-n-tasty,"December 18, 2020","December 19, 2020"
Cities: Skylines,"December 17, 2020","December 18, 2020"
Pillars of Eternity,"December 10, 2020","December 17, 2020"
Tyranny,"December 10, 2020","December 17, 2020"
cave-story-plus,"December 3, 2020","December 10, 2020"
spintires-mudrunner,"November 26, 2020","December 3, 2020"
Elite Dangerous,"November 19, 2020","November 26, 2020"
The World Next Door,"November 19, 2020","November 26, 2020"
the-textorcist-the-story-of-ray-bibbia,"November 12, 2020","November 19, 2020"
Dungeons 3,"November 5, 2020","November 12, 2020"
Ghostbusters The Video Game Remastered,"October 29, 2020","November 5, 2020"
Blair Witch,"October 29, 2020","November 5, 2020"
Layers of Fear 2,"October 22, 2020","October 29, 2020"
Costume Quest 2,"October 22, 2020","October 29, 2020"
Amnesia: A Machine for Pigs,"October 15, 2020","October 22, 2020"
Kingdom: New Lands,"October 15, 2020","October 22, 2020"
Abzu,"October 8, 2020","October 15, 2020"
Rising Storm 2: Vietnam,"October 8, 2020","October 15, 2020"
Pikuniku,"October 1, 2020","October 8, 2020"
rollercoaster-tycoon-3,"September 24, 2020","October 1, 2020"
football-manager-2022,"September 17, 2020","September, 24, 2020"
Stick It To The Man!,"September 17, 2020","September, 24, 2020"
Railway Empire,"September 10, 2020","September 17, 2020"
Where the Water Tastes Like Wine,"September 10, 2020","September 17, 2020"
